configuration,attack_family,n,attack_success_rate
C1,instruction_override,13,0.0
C1,context_contamination,15,0.06666666666666667
C1,tool_abuse,9,0.1111111111111111
C1,data_exfiltration,8,0.75
C2,instruction_override,13,0.07692307692307693
C2,context_contamination,15,0.2
C2,tool_abuse,9,0.3333333333333333
C2,data_exfiltration,8,0.625
C3,instruction_override,13,0.0
C3,context_contamination,15,0.06666666666666667
C3,tool_abuse,9,0.6666666666666666
C3,data_exfiltration,8,0.625
C4,instruction_override,13,0.0
C4,context_contamination,15,0.06666666666666667
C4,tool_abuse,9,0.2222222222222222
C4,data_exfiltration,8,0.125
C5,instruction_override,13,0.0
C5,context_contamination,15,0.13333333333333333
C5,tool_abuse,9,0.0
C5,data_exfiltration,8,0.125
