configuration,attack_family,n,attack_success_rate
C1,instruction_override,10,0.3
C1,context_contamination,9,0.5555555555555556
C1,tool_abuse,7,0.42857142857142855
C1,data_exfiltration,7,1.0
C2,instruction_override,10,0.2
C2,context_contamination,9,0.1111111111111111
C2,tool_abuse,7,0.7142857142857143
C2,data_exfiltration,7,0.5714285714285714
C3,instruction_override,10,0.2
C3,context_contamination,9,0.2222222222222222
C3,tool_abuse,7,0.7142857142857143
C3,data_exfiltration,7,0.5714285714285714
C4,instruction_override,10,0.3
C4,context_contamination,9,0.4444444444444444
C4,tool_abuse,7,0.7142857142857143
C4,data_exfiltration,7,0.7142857142857143
C5,instruction_override,10,0.0
C5,context_contamination,9,0.2222222222222222
C5,tool_abuse,7,0.0
C5,data_exfiltration,7,0.0
