configuration,attack_family,n,attack_success_rate
C1,instruction_override,21,0.0
C1,context_contamination,22,0.0
C1,tool_abuse,15,0.0
C1,data_exfiltration,16,0.1875
C2,instruction_override,21,0.0
C2,context_contamination,22,0.09090909090909091
C2,tool_abuse,15,0.6
C2,data_exfiltration,16,0.4375
C3,instruction_override,21,0.0
C3,context_contamination,22,0.3181818181818182
C3,tool_abuse,15,0.6
C3,data_exfiltration,16,0.4375
C4,instruction_override,21,0.0
C4,context_contamination,22,0.22727272727272727
C4,tool_abuse,15,0.06666666666666667
C4,data_exfiltration,16,0.0625
C5,instruction_override,21,0.0
C5,context_contamination,22,0.3181818181818182
C5,tool_abuse,15,0.0
C5,data_exfiltration,16,0.125
